Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
ES;ELE6210;01;3,00;63;23;A-621;L;B;I;TL;CONCEPTION SYST. DE COMMANDE;30;MAR;1030
ES;ELE6210;01;3,00;63;24;A-621;L;B;I;TL;CONCEPTION SYST. DE COMMANDE;30;MAR;1130
ES;ELE6306;01;3,00;57;2B0;B-315;C;B;;TL;TESTS SYST.ELECTRONIQUES;20;MAR;1800
ES;ELE6306;01;3,00;57;2C0;B-315;C;B;;TL;TESTS SYST.ELECTRONIQUES;20;MAR;1900
ES;ELE6306;01;3,00;57;2D0;B-315;C;B;;TL;TESTS SYST.ELECTRONIQUES;20;MAR;2000
ES;ELE6306;01;3,00;20;1C0;D-5219;L;B;I;TL;TESTS SYST.ELECTRONIQUES;20;LUN;1900
ES;ELE6306;01;3,00;20;1D0;D-5219;L;B;I;TL;TESTS SYST.ELECTRONIQUES;20;LUN;2000
ES;ELE6306;01;3,00;20;1E0;D-5219;L;B;I;TL;TESTS SYST.ELECTRONIQUES;20;LUN;2100
ES;ELE6308;01;3,00;64;1C0;A-604;C;B;;TLS;MICROELECT. ANALOG. ET MIXTE;48;LUN;1900
ES;ELE6308;01;3,00;64;1D0;A-604;C;B;;TLS;MICROELECT. ANALOG. ET MIXTE;48;LUN;2000
ES;ELE6308;01;3,00;64;1E0;A-604;C;B;;TLS;MICROELECT. ANALOG. ET MIXTE;48;LUN;2100
ES;ELE6308;01;3,00;20;4C0;D-5219;L;B;I;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;1900
ES;ELE6308;01;3,00;20;4D0;D-5219;L;B;I;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;2000
ES;ELE6308;01;3,00;20;4E0;D-5219;L;B;I;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;2100
ES;ELE6308;02;3,00;20;4C0;D-5219;L;B;P;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;1900
ES;ELE6308;02;3,00;20;4D0;D-5219;L;B;P;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;2000
ES;ELE6308;02;3,00;20;4E0;D-5219;L;B;P;TLS;MICROELECT. ANALOG. ET MIXTE;24;JEU;2100
ES;ELE6401;01;3,00;25;1C0;A-208;C;A;;T;TECHNIQUES DE MISE A LA TERRE;25;LUN;1900
ES;ELE6401;01;3,00;25;1D0;A-208;C;A;;T;TECHNIQUES DE MISE A LA TERRE;25;LUN;2000
ES;ELE6401;01;3,00;25;1E0;A-208;C;A;;T;TECHNIQUES DE MISE A LA TERRE;25;LUN;2100
ES;ELE6407;01;3,00;25;3C0;A-208;C;A;;T;ENTRAINEMENTS VITESSE VARIABLE;25;MER;1900
ES;ELE6407;01;3,00;25;3D0;A-208;C;A;;T;ENTRAINEMENTS VITESSE VARIABLE;25;MER;2000
ES;ELE6407;01;3,00;25;3E0;A-208;C;A;;T;ENTRAINEMENTS VITESSE VARIABLE;25;MER;2100
ES;ELE6411;01;3,00;25;4C0;A-208;C;A;;T;ETUDE DES GRANDS RESEAUX;25;JEU;1900
ES;ELE6411;01;3,00;25;4D0;A-208;C;A;;T;ETUDE DES GRANDS RESEAUX;25;JEU;2000
ES;ELE6411;01;3,00;25;4E0;A-208;C;A;;T;ETUDE DES GRANDS RESEAUX;25;JEU;2100
ES;ELE6501;01;3,00;60;390;D-6321;C;A;;T;ANALYSE CIRC.MICRO-ONDES;15;MER;1600
ES;ELE6501;01;3,00;60;3A0;D-6321;C;A;;T;ANALYSE CIRC.MICRO-ONDES;15;MER;1700
ES;ELE6501;01;3,00;60;3B0;D-6321;C;A;;T;ANALYSE CIRC.MICRO-ONDES;15;MER;1800
ES;ELE6503;01;3,00;200;190;DEPART.;C;B;;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;LUN;1600
ES;ELE6503;01;3,00;200;1A0;DEPART.;C;B;;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;LUN;1700
ES;ELE6503;01;3,00;200;1B0;DEPART.;C;B;;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;LUN;1800
ES;ELE6503;01;3,00;20;290;D-4040;L;B;I;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;MAR;1600
ES;ELE6503;01;3,00;20;2A0;D-4040;L;B;I;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;MAR;1700
ES;ELE6503;01;3,00;20;2B0;D-4040;L;B;I;TL;DISPOSIT. CIRCUITS MICRO-ONDES;19;MAR;1800
ES;ELE6507;01;3,00;60;49;D-6321;C;H;;TL;METH.NUM.ELECTROMAGNETISME;20;JEU;1645
